li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
1872	𗶂	tsji²	6	2.10	tsi²	tsi²	tsi²
1873	𗸚	ga̱¹	5	1.22	ɴɢaʶ¹	ŋġa̱¹	ŋġa̱¹
1876	𘞶	phu̱²	1	2.05	mphuʶ²	mphu̱²	mphu̱²
1877	𗡥	ˑjɨr²	8	2.77	ˑjər²	ryər²	ryər²
1878	𗱋	thjɨ̣²	3	2.61	thə̣²	thəh²	thəh²
1879	𘈔	bji²	1	2.10	bi²	bi²	bi²
1880	𘆌	tshjɨ̣j¹	6	1.62	tshə̣j¹	tsheṁh¹	tsheṃh¹
1881	𘇶	we¹	2	1.08	wiʶ¹	vi̱¹	vwi̱¹
1882	𘇸	tśju¹	7	1.02	tśu¹	tśu¹	tśu¹
1883	𗬌	zẽ¹	9	1.15	zĩʶ¹	zi̱ṁ¹	zi̱ṃ¹
1884	𘉟	pjụ¹	1	1.59	pụ¹	puh¹	puh¹
1886	𗢨	dzjwo²	6	2.44	dzwo²	dzwo²	dzwo²
1887	𘊏	kjij¹	5	1.36	ke¹	ke¹	ke¹
1888	𘟥	bə²	1	2.25	bəʶ²	bə̱²	bə̱²
1889	𗬍	gju²	5	2.03	gu²	gu²	gu²
1890	𗹭	bjij²	1	2.33	be²	be²	be²
1891	𗎰	tśjɨ̣¹	7	1.69	tśə̣¹	tśəh¹	tśəh¹
1892	𗎭	mji̱¹	1	1.14	mmi¹	mmi¹	mmi¹
1893	𗂍	lhji̱¹	9	1.14	nlhi¹	nlhi¹	nlhi¹
1894	𗃆	ˑjar¹	8	1.82	ˑjar¹	ryar¹	ryar¹
1895	𗀿	lji¹	9	1.10	li¹	li¹	li¹
1896	𗆳	ˑji̱j¹	8	1.39	ˑjee¹	n·ye¹	nye¹
1897	𗂭	pha¹	1	1.17	phaʶ¹	pha̱¹	pha̱¹
1898	𗂮	kjɨr¹	5	1.86	kər¹	rkər¹	rkər¹
1899	𗅥	tju²	3	2.03	tu²	tu²	tu²
1900	𗂜	tshe²	6	2.07	tshiʶ²	tshi̱²	tshi̱²
1901	𗆒	low²	9	2.47	loʶw²	lo̱ṁ²	lo̱ṃ²
1902	𗆬	wer¹	2	1.77	wiʶr¹	rvi̱r¹	rvwi̱r¹
1903	𗆟	mji¹	1	1.11	mi¹	mi¹	mi¹
1904	𗅱	tjɨ̣j²	3	2.55	tə̣j²	teṁh²	teṃh²
1906	𗅉	nio̱w¹	3	1.57	nʕooʶw¹	nuo¹	nuo¹
1907	𗅧	gju²	5	2.03	gu²	gu²	gu²
1908	𗆓	mjij²	1	2.33	me²	me²	me²
1909	𗅠	gur¹	5	1.75	ɢuʶr¹	rġu̱r¹	rġu̱r¹
1910	𗅲	tjɨ̣j²	3	2.55	tə̣j²	teṁh²	teṃh²
1912	𗆲	dze¹	6	1.08	dziʶ¹	dzi̱¹	dzi̱¹
1913	𗆤	khã¹	5	2.74	qhãʶ¹	qha̱ṁ¹	qha̱ṃ¹
1915	𗆀	ˑu²	8	2.01	ˑuʶ²	γu̱²	wu̱²
1916	𗆘	khə̣¹	5	1.68	qhə̣ʶ¹	qhə̱h¹	qhə̱h¹
1917	𗆥	khwa̱²	5	2.19	ɴqhwaʶ²	ŋqhwa̱²	ŋqhwa̱²
1918	𗅋	mji¹	1	1.11	mi¹	mi¹	mi¹
1920	𗁝	gjiw¹	5	1.45	giw¹	giw¹	giw¹
1921	𗁸	se²	6	2.07	siʶ²	si̱²	si̱²
1922	𗁷	khia¹	5	1.18	qhʕaʶ¹	qhaa̱¹	qhaa̱¹
1923	𗂄	ɣwa¹	8	1.17	ʁwaʶ¹	γwa̱¹	ġhwa̱¹
1924	𗂵	phia̱²	1	2.20	mphʕaʶ²	mphaa̱²	mphaa̱²
1925	𗁍	bju¹	1	1.02	bu¹	bu¹	bu¹
1926	𗂥	njij²	3	2.33	ne²	ne²	ne²
1927	𗂊	dźjwa¹	7	1.19	dźwa¹	dźwa¹	dźwa¹
1928	𗃃	lji̱r¹	9	1.93	liir¹	rler¹	rler¹
1929	𗁧	tew¹	3	1.43	tiʶw¹	ti̱w¹	ti̱w¹
1930	𗂿	tju¹	3	1.03	tu¹	tu¹	tu¹
1931	𗹮	djɨ¹	3	1.30	də¹	də¹	də¹
1932	𗹤	śiej¹	7	1.34	śʕeʶ¹	ṣae̱¹	ṣae̱¹
1933	𗃀	tsjwɨ¹	6	1.30	tswə¹	tswə¹	tswə¹
1934	𗺀	lẽ¹	9	1.15	lĩʶ¹	li̱ṁ¹	li̱ṃ¹
1935	𘉂	dzjɨj¹	6	1.42	dzəj¹	dzeṁ¹	dzeṃ¹
1936	𗺁	xiəj²	8	2.36	χʕəʶj²	hae̱ṁ²	hae̱ṃ²
1937	𗎦	kha²	5	2.14	qhaʶ²	qha̱²	qha̱²
1938	𗎬	dźjɨr²	7	2.27	dźər²	rdźər²	rdźər²
1939	𗀰	lhjɨ̣¹	9	1.69	lhə̣¹	lhəh¹	lhəh¹
1940	𗁐	mjọ²	1	2.64	mọ²	moh²	moh²
1941	𗄭	dzjɨ̣²	5	2.61	dzə̣²	dzəh²	dzəh²
1942	𗄸	tśhja²	7	2.16	tśha²	tśha²	tśha²
1943	𗅔	nja̱²	3	2.18	naa²	naw²	naw²
1944	𗅖	zji¹	9	1.11	zi¹	zi¹	zi¹
1945	𗆞	mjij²	1	2.33	me²	me²	me²
1946	𗆫	ljɨ̱r²	9	2.85	ləər²	rlər²	rlər²
1948	𗄩	bẹ¹	1	1.65	bịʶ¹	bi̱h¹	bi̱h¹
1949	𗅕	le̱²	9	2.11	nliʶ²	nli̱²	nlli̱²
1950	𗅚	bjịj¹	1	1.61	bẹ¹	beh¹	beh¹
1951	𗆛	sa²	6	2.14	saʶ²	sa̱²	sa̱²
1952	𗀲	tśhjiw²	7	2.40	tśhiw²	tśhiw²	tśhiw²
1953	𗁯	khiə²	5	2.26	qhʕəʶ²	qhaə̱²	qhaə̱²
1954	𗂟	wjar¹	2	1.82	war¹	rvar¹	rvar¹
1955	𗁭	dźjwo¹	7	1.48	dźwo¹	dźow¹	dźow¹
1956	𗁶	phji̱j¹	1	1.39	mphe¹	mphe¹	mphe¹
1958	𗹴	mə̱¹	1	1.31	mməʶ¹	mmə̱¹	mmə̱¹
1959	𗹡	kjir¹	5	1.79	kir¹	rkir¹	rkir¹
1960	𗁕	tạ¹	3	1.63	tạʶ¹	ta̱h¹	ta̱h¹
1961	𗀱	phio²	1	2.43	phʕoʶ²	phao̱²	phao̱²
1962	𗅇	tjɨ̣j²	3	2.55	tə̣j²	teṁh²	teṃh²
1963	𗅊	lhiẹ²	9	2.59	lhʕịʶ²	lhai̱h²	lhai̱h²
1965	𗄬	dzjɨj¹	6	1.42	dzəj¹	dzeṁ¹	dzeṃ¹
1966	𗂞	miej¹	1	1.34	mʕeʶ¹	mae̱¹	mae̱¹
1967	𗅸	kwə²	5	2.25	qwəʶ²	qwə̱²	qwə̱²
1968	𗆚	dzju̱¹	6	1.07	ndzu¹	ndzu¹	ndzu¹
