171BE	𗆾	⿰𘠐⿰𘢌⿰𘫿𘤏
171BF	𗆿	⿰𘠐⿱𘧉⿰𘤬𘠢
171C0	𗇀	⿰𘠐⿱𘥉⿰𘡵𘤻
171C1	𗇁	⿲𘠐⿱𘡩𘡃𘪴
171C2	𗇂	⿰𘠐⿱𘧉⿰𘧘𘢌
171C3	𗇃	⿰𘠒𘦳
171C4	𗇄	⿲𘠒𘫿𘠆
171C5	𗇅	⿺𘠔𘢌
171C6	𗇆	⿰𘠕𘥜
171C7	𗇇	⿰𘠕𘦳
171C8	𗇈	⿲𘠕𘤩𘠢
171C9	𗇉	⿲𘠕𘤧𘥿
171CA	𗇊	⿱𘠙⿰𘡠𘠁
171CB	𗇋	⿱𘠙⿰𘠐𘢓
171CC	𗇌	⿱𘠙⿰𘠁𘥦
171CD	𗇍	⿱𘠙⿰𘦳𘠁
171CE	𗇎	⿱𘠙⿰𘠐𘦁
171CF	𗇏	⿱𘠙⿺𘢍𘢒
171D0	𗇐	⿱𘠙⿺𘢍⿰𘫺𘠅
171D1	𗇑	⿱𘠙⿰𘢔𘣩
171D2	𗇒	⿱𘠙⿰𘢔𘣴
171D3	𗇓	⿱𘠙⿰𘢔𘣵
171D4	𗇔	⿱𘠙⿰𘢉𘦳
171D5	𗇕	⿱𘠙⿰𘢔𘥭
171D6	𗇖	⿱𘠙⿰𘢚𘦳
171D7	𗇗	⿱𘠙⿲𘢔𘣴𘠢
171D8	𗇘	⿱𘠙⿰𘦳𘤋
171D9	𗇙	⿱𘠙⿲𘦳𘤋𘠢
171DA	𗇚	⿱𘠚𘤃
171DB	𗇛	⿱𘠚𘥿
171DC	𗇜	⿱𘠚𘪘
171DD	𗇝	⿳𘠚𘧉⿰𘢤𘢱
171DE	𗇞	⿱𘠛𘤧
171DF	𗇟	⿱𘠛⿰𘠡𘠨
171E0	𗇠	⿱𘠛⿰𘠐𘡲
171E1	𗇡	⿱𘠛⿰𘢌𘠢
171E2	𗇢	⿱𘠛𘦧
171E3	𗇣	⿱𘠛⿰𘠱𘢌
171E4	𗇤	⿱𘠛⿺𘢍𘫺
171E5	𗇥	⿱𘠛⿰𘫿𘠢
171E6	𗇦	⿱𘠛⿰𘡘𘢉
171E7	𗇧	⿱𘠛⿰𘠡𘤾
171E8	𗇨	⿱𘠛⿰𘠨𘤥
171E9	𗇩	⿳𘠛𘡩𘣂
171EA	𗇪	⿱𘠛⿺𘢍𘡷
171EB	𗇫	⿱𘠛⿺𘢍⿰𘫺𘠅
171EC	𗇬	⿱𘠛⿰𘢤𘢱
171ED	𗇭	⿱𘠛⿰𘢼𘢚
171EE	𗇮	⿱𘠛⿰𘡘𘤬
171EF	𗇯	⿱𘠛⿲𘠣𘢯𘠢
171F0	𗇰	⿱𘠛⿲𘠨𘡿𘠢
171F1	𗇱	⿱𘠛⿲𘠨𘢥𘠢
171F2	𗇲	⿱𘠛⿰𘠱𘦧
171F3	𗇳	⿱𘠛⿰𘠱𘦳
171F4	𗇴	⿱𘠛⿰𘢌𘣡
171F5	𗇵	⿱𘠛⿺𘢍𘤻
171F6	𗇶	⿱𘠛⿲𘢌𘠈𘡱
171F7	𗇷	⿱𘠛⿺𘡄𘥿
171F8	𗇸	⿱𘠛⿰𘫺𘧓
171F9	𗇹	⿱𘠛⿰𘦢𘠴
171FA	𗇺	⿱𘠛⿰𘦦𘡑
171FB	𗇻	⿱𘠛𘪰
171FC	𗇼	⿱𘠛⿰𘢭𘣵
171FD	𗇽	⿳𘠛𘡩⿰𘠒𘢓
171FE	𗇾	⿳𘠛𘡩⿰𘡔𘡃
171FF	𗇿	⿱𘠛⿰𘣿𘤾
17200	𗈀	⿱𘠛⿰𘢉𘦳
17201	𗈁	⿳𘠛𘠙⿲𘫺𘠁𘢐
17202	𗈂	⿱𘠛⿰𘫾𘤩
17203	𗈃	⿱𘠛⿰𘤩𘥔
17204	𗈄	⿱𘠛⿰𘡒𘨆
17205	𗈅	⿱𘠛⿲𘢷𘠁𘤩
17206	𗈆	⿱𘠛⿰𘥇𘤏
17207	𗈇	⿱𘠛⿰𘡘𘫸
17208	𗈈	⿱𘠛⿲𘠨𘦖𘠢
17209	𗈉	⿱𘠛⿲𘣟𘠐𘢌
1720A	𗈊	⿱𘠛⿰𘧥𘢓
1720B	𗈋	⿱𘠛⿲𘠱𘦢𘠢
1720C	𗈌	⿱𘠛⿰𘣿𘦢
1720D	𗈍	⿱𘠛⿰𘢉𘨱
